ID,Korean Title,Translated Title,Yale Romanization of Title,Romanization of Author
1,B사감과 러브레터,Ms. B and Love Letters,B sakamkwa lepuleythe,Hyeon Jingeon
2,가애자,A Sweetheart,kaayca,Kim Namcheon
3,가상의 불량소녀,A Fictional Rogue Girl,kasanguy pwullyangsonye,Lee Iksang
4,결혼식,Wedding,kyelhonsik,Kim Dongin
5,경희,Kyung-hee,kyenghuy,Na Hyesuk
6,괴승신수,A Strange Monk,koysungsinswu,Yun Baeknam
7,그 여자,The Woman,ku yeca,Kang Gyeongae
8,그믐달,Dark Moon,kumumtal,Lee Iksang
9,금 따는 콩밭,A Field of Beans Where Gold is Buried,kum ttanun khongpath,Kim Yujeong
10,노다지,Rich Mine,Nodachi,Kim Yujeong
11,대동강은 속삭인다,The Daedong River Whispers,Daedongkang-ŭn Soksag'inda,Kim Dongin
12,도시와 유령,City and Ghost,Dosŭiwa Yuryŏng,Yi Hyoseok
13,따라지,Ddaraji,Ttaraji,Kim Yujeong
14,만무방,Manmubang,Manmubang,Kim Yujeong
15,먼동이 틀 때,When the Sun Rises,Mŏndong-i T'ŭl Ttae,Choe Seohae
16,메밀꽃 필 무렵,When Buckwheat Flowers Blossom,Memilkkot Pil Muryŏp,Yi Hyoseok
17,명문,Good Sentences,Myŏngmun,Kim Dongin
18,모르는 여인,The Unknown Woman,Moreunŭn Yŏin,Lee Gwangsu
19,모자,The Mother and the Son,Moja,Kang Gyeongae
20,무명초,Anemone,Mumyŏngcho,Choe Seohae
21,박첨지의 죽음,The Death of Park Chum-ji,Pakch'ŏmji Ŭi Jugŭm,Kim Dongin
22,벙어리 삼룡이,The Mute Samurai,Pongŏri Samryong-i,Na Dohyang
23,봄봄,Spring Spring,Pombom,Kim Yujeong
24,부자,The Father and the Son,Buja,Kang Gyeongae
25,불,Fire,Pul,Hyeon Jingeon
26,빈처,A Poverty-Stricken Wife,Pinch'o,Hyeon Jingeon
27,사위,The Son-in-Law,Sawi,Lee Mu-yeong
28,소년의 비애,A Boy's Woes,Sonyŏn-ŭi Pi-ae,Lee Gwangsu
29,송동이,The Calf,Songdong'i,Kim Dongin
30,순정의 호동왕자,Purehearted Prince Hodong,Sunch'ŏng-ŭi Hodongwangja,Yun Baengnam
31,술 권하는 사회,Society Authorizing Alcohol,Sul Kwŏnhanŭn Sahoe,Hyeon Jingeon
32,신문지와 철창,The Newspaper and the Cage,Sinmunjiwa Ch'ŏlchang,Hyeon Jingeon
33,우연의 기적,Miracles of Coincidence,Uyŏn-ŭi Kijŏk,Yun Baengnam
34,운수 좋은 날,A Lucky Day,Unsu Chohŭn Nal,Hyeon Jingeon
35,원수로 은인,Enemies to Benefactors,Wŏnsuro Ŭnin,Yun Baengnam
36,유무,Presence,Yumu,Kang Gyeongae
37,의심의 소녀,Girl of Doubt,Ŭisim-ŭi Sony,Kim Myeongsun
38,이식과 도승,Eisig and Doseung,Isikkwa Tosŭng,Yun Baeng
39,장미 병들다,The Rose is Diseased,Changmi Pyŏngdŭlda,Yi Hyoseok
40,정열의 낙랑공주,Passionate Princess Nangnang,Chŏngyŏl-ŭi Nangnanggongju,Kim Dongin
41,정희,Jeong-hee,Chŏnghŭi,Na Dohyang
42,청춘,Youth,Ch'ŏngch'un,Kim Yujeong
43,총각과 맹꽁이,The Bachelor and the Blind Eel,Ch'onggakgwa Maengkkong'i,Choe Seohae
44,탈출기,Escape Chronicles,Talch'ulgi,Kang Gyeongae
45,파금,Break at Dawn,P'akŭm,Choe Seohae
46,해돋이,Sunrise,Haedoch'i,Kim Dongin
47,화환,Floral Tribute,Hwahwan,Lee Sang
48,황소와 도깨비,The Bull and the Goblin,Hwangso-wa Tokkaebi,Yun Baengnam
49,후백제비화,Later Baekje Chronicles,Hubaekjebihwa,I Iksang
50,흙의 세례,Baptism of Soil,Hŭk-ŭi Selye,Hyeon Jingeon
